IDX,RegionVal,RegionType,ID,Unemployment Rate,Average Earnings,Percent High School Graduate
49,Vermont,State,0400000US50,2.8,54982,75
50,Virginia,State,0400000US51,2.9,32062,82
51,West Virginia,State,0400000US54,4.4,50022,81
52,Wyoming,State,0400000US56,4.7,32283,74
53,Cleburne,County,0500000US01029,5.6,49180,77
54,Coffee,County,0500000US01031,4.1,54325,85
55,Coosa,County,0500000US01037,4.7,50260,80
56,Covington,County,0500000US01039,4.8,44674,72
57,Crenshaw,County,0500000US01041,3.4,53179,81
58,Dale,County,0500000US01045,5.8,52232,85
59,DeKalb,County,0500000US01049,2.6,55334,75
60,Escambia,County,0500000US01053,5.7,46456,89
61,Fayette,County,0500000US01057,5.1,46814,85
62,Geneva,County,0500000US01061,4.8,49762,79
63,Henry,County,0500000US01067,4,45706,88
64,Lamar,County,0500000US01075,3.6,36113,78
65,Lauderdale,County,0500000US01077,3.6,36926,88
66,Lawrence,County,0500000US01079,3.5,38161,85
67,Autauga,County,0500000US01001,3.6,34709,80
68,Baldwin,County,0500000US01003,2.8,55028,75
69,Barbour,County,0500000US01005,5.9,31516,84
70,Bibb,County,0500000US01007,4.4,44667,74
71,Blount,County,0500000US01009,3.9,37250,89
72,Bullock,County,0500000US01011,2.3,52881,73
73,Choctaw,County,0500000US01023,2.7,32922,77
74,Clarke,County,0500000US01025,3.6,42916,76
75,Clay,County,0500000US01027,5.1,31200,84
76,Colbert,County,0500000US01033,3.3,35837,80
77,Conecuh,County,0500000US01035,4.2,54143,86
78,Cullman,County,0500000US01043,4.8,57505,88
79,Dallas,County,0500000US01047,3.4,35689,82
80,Elmore,County,0500000US01051,4.3,36331,89
81,Etowah,County,0500000US01055,5.4,36238,79
82,Franklin,County,0500000US01059,5.1,34881,88
83,Greene,County,0500000US01063,5.9,38426,76
84,Hale,County,0500000US01065,3.3,56203,77
85,Jackson,County,0500000US01071,4.3,38127,85
86,Jefferson,County,0500000US01073,4.6,53222,87
87,Lowndes,County,0500000US01085,4.3,53207,89
88,Macon,County,0500000US01087,3.8,55216,88
89,Madison,County,0500000US01089,2.8,49067,82
90,Marengo,County,0500000US01091,2.7,41249,84
91,Marshall,County,0500000US01095,3.7,54843,77
92,Mobile,County,0500000US01097,2.2,34958,85
93,Monroe,County,0500000US01099,2.3,39241,73
94,Pickens,County,0500000US01107,4.1,46934,88
95,Pike,County,0500000US01109,2.2,50513,82
96,Russell,County,0500000US01113,5.6,53849,76
97,St. Clair,County,0500000US01115,3.8,53941,89
98,Shelby,County,0500000US01117,3,49800,75
99,Sumter,County,0500000US01119,3.2,50011,75
100,Talladega,County,0500000US01121,2.7,51002,86
101,Washington,County,0500000US01129,2.2,50174,75
102,Wilcox,County,0500000US01131,4.8,38296,83
103,Butler,County,0500000US01013,3.5,39974,80
104,Calhoun,County,0500000US01015,5.8,46799,81
105,Chambers,County,0500000US01017,2.3,48794,87
106,Cherokee,County,0500000US01019,2.9,50186,80
107,Chilton,County,0500000US01021,3.3,35970,76
108,Tallapoosa,County,0500000US01123,2.2,42272,72
109,Tuscaloosa,County,0500000US01125,2.2,32835,86
110,Walker,County,0500000US01127,5.4,47918,86
111,Winston,County,0500000US01133,4.1,55079,76
112,Montgomery,County,0500000US01101,4.1,39820,85
113,Houston,County,0500000US01069,3.8,36421,85
114,Lee,County,0500000US01081,3.6,32429,89
115,Limestone,County,0500000US01083,2.7,48223,87
116,Marion,County,0500000US01093,4.5,45615,77
117,Morgan,County,0500000US01103,2.6,38772,86
118,Perry,County,0500000US01105,4.7,54676,72
119,Randolph,County,0500000US01111,2.6,48619,89
120,Aleutians East,County,0500000US02013,4.8,49442,73
121,Aleutians West,County,0500000US02016,3.1,42322,77
122,Anchorage,County,0500000US02020,3.7,30811,84
123,Bethel,County,0500000US02050,4.3,51298,83
124,Bristol Bay,County,0500000US02060,3.1,37060,88
125,Denali,County,0500000US02068,5.5,34010,78
126,Dillingham,County,0500000US02070,4.3,36825,86
127,Fairbanks North Star,County,0500000US02090,5.8,50314,87
128,Hoonah-Angoon,County,0500000US02105,4.6,38332,74
129,Juneau,County,0500000US02110,5.4,41955,82
130,Kenai Peninsula,County,0500000US02122,5.4,50451,76
131,Ketchikan Gateway,County,0500000US02130,5,37386,86
132,Lake and Peninsula,County,0500000US02164,3.3,45300,88
133,Matanuska-Susitna,County,0500000US02170,3.2,49947,87
134,Nome,County,0500000US02180,3.2,37036,78
135,North Slope,County,0500000US02185,2.9,46461,77
136,Northwest Arctic,County,0500000US02188,5.3,50220,79
137,Sitka,County,0500000US02220,3.4,42989,84
138,Southeast Fairbanks,County,0500000US02240,3.1,45990,80
139,Wade Hampton,County,0500000US02270,3.7,56645,72
140,Wrangell,County,0500000US02275,4.4,42071,77
141,Yukon-Koyukuk,County,0500000US02290,4.5,41591,85
142,Petersburg,County,0500000US02195,4.7,41385,88
143,Prince of Wales-Hyder,County,0500000US02198,3.7,36137,88
144,Skagway,County,0500000US02230,3.1,46631,76
145,Valdez-Cordova,County,0500000US02261,3.9,31680,79
146,Yakutat,County,0500000US02282,5.4,48921,75
147,Haines,County,0500000US02100,4.6,33599,79
148,Kodiak Island,County,0500000US02150,4.1,30972,89
149,Apache,County,0500000US04001,5,32905,83
150,Cochise,County,0500000US04003,5.6,38729,87
151,Coconino,County,0500000US04005,5.6,43949,87
152,Gila,County,0500000US04007,3.6,30298,74
153,Graham,County,0500000US04009,5.5,57397,88
154,Greenlee,County,0500000US04011,3.9,34776,85
155,La Paz,County,0500000US04012,3.1,42432,80
156,Maricopa,County,0500000US04013,5.7,44996,78
157,Mohave,County,0500000US04015,4.5,36961,80
158,Navajo,County,0500000US04017,3.7,38412,78
159,Pima,County,0500000US04019,4.3,49598,75
160,Pinal,County,0500000US04021,3.8,30544,82
161,Santa Cruz,County,0500000US04023,4.7,31868,73
162,Yavapai,County,0500000US04025,3.5,38556,74
163,Yuma,County,0500000US04027,5.7,33193,81
164,Fulton,County,0500000US05049,5.1,51829,73
165,Garland,County,0500000US05051,4.4,46613,77
166,Grant,County,0500000US05053,3.1,52393,82
167,Greene,County,0500000US05055,5.4,46063,80
168,Hot Spring,County,0500000US05059,4,33668,89
169,Izard,County,0500000US05065,2.9,47104,84
170,Johnson,County,0500000US05071,3.8,42794,78
171,Lawrence,County,0500000US05075,2.9,49131,81
172,Lee,County,0500000US05077,3.6,54906,72
173,Arkansas,County,0500000US05001,3,39751,75
174,Ashley,County,0500000US05003,5.4,48939,89
175,Baxter,County,0500000US05005,2.6,52877,73
176,Benton,County,0500000US05007,4.3,32117,81
177,Bradley,County,0500000US05011,3.9,44751,81
178,Calhoun,County,0500000US05013,3.9,39659,73
179,Chicot,County,0500000US05017,4.3,50761,79
180,Clark,County,0500000US05019,4.3,53333,75
181,Clay,County,0500000US05021,4.9,48870,77
182,Conway,County,0500000US05029,3.2,30701,82
183,Cross,County,0500000US05037,4.8,44339,84
184,Dallas,County,0500000US05039,5.3,35951,77
185,Desha,County,0500000US05041,2.9,35832,84
186,Faulkner,County,0500000US05045,4.7,36949,78
187,Hempstead,County,0500000US05057,3.7,50948,78
188,Howard,County,0500000US05061,4.7,36593,85
189,Independence,County,0500000US05063,2.2,50315,75
190,Jackson,County,0500000US05067,4,39948,83
191,Jefferson,County,0500000US05069,2.3,53946,85
192,Lafayette,County,0500000US05073,3.9,46817,87
193,Little River,County,0500000US05081,4.4,31357,80
194,Lonoke,County,0500000US05085,3.6,42253,85
195,Miller,County,0500000US05091,2.7,33680,85
196,Mississippi,County,0500000US05093,3,40727,85
197,Monroe,County,0500000US05095,3.4,57507,74
198,Montgomery,County,0500000US05097,3.7,44517,76
199,Nevada,County,0500000US05099,5.3,34167,85
200,Ouachita,County,0500000US05103,5.4,32211,83
201,Phillips,County,0500000US05107,4.6,46006,86
202,Pike,County,0500000US05109,3.4,50599,86
203,Prairie,County,0500000US05117,5.1,37632,73
204,Randolph,County,0500000US05121,2.7,32498,87
205,Sebastian,County,0500000US05131,3.2,55046,75
206,Sevier,County,0500000US05133,5.6,48493,77
207,Union,County,0500000US05139,5.6,32293,79
208,White,County,0500000US05145,5.3,43002,75
209,Woodruff,County,0500000US05147,3.1,38256,73
210,Boone,County,0500000US05009,3.1,47835,85
211,Carroll,County,0500000US05015,3.9,39690,74
212,Cleburne,County,0500000US05023,3.8,49335,72
213,Cleveland,County,0500000US05025,2.6,36605,87
214,Columbia,County,0500000US05027,4.3,34675,72
215,Craighead,County,0500000US05031,2.5,32570,80
216,Crawford,County,0500000US05033,3.7,42082,79
217,Crittenden,County,0500000US05035,4.2,56718,73
218,Drew,County,0500000US05043,5.8,50740,79
219,Franklin,County,0500000US05047,2.8,34550,73
220,Washington,County,0500000US05143,3.4,51493,73
221,Yell,County,0500000US05149,4.2,46181,78
222,Lincoln,County,0500000US05079,5.8,50902,76
223,Logan,County,0500000US05083,3.2,37619,89
224,Madison,County,0500000US05087,2.6,39194,87
225,Marion,County,0500000US05089,4.7,43362,74
226,Newton,County,0500000US05101,4.7,38482,73
227,Perry,County,0500000US05105,5,32515,88
228,Poinsett,County,0500000US05111,3.1,44056,82
229,Polk,County,0500000US05113,5.3,42165,85
230,Pope,County,0500000US05115,3.4,40119,80
231,Pulaski,County,0500000US05119,5,43412,79
232,St. Francis,County,0500000US05123,2.3,54312,83
233,Saline,County,0500000US05125,3.7,39083,81
234,Scott,County,0500000US05127,3.3,33341,77
235,Searcy,County,0500000US05129,4.4,39561,81
236,Sharp,County,0500000US05135,4.2,37170,89
237,Stone,County,0500000US05137,2.4,56956,75
238,Van Buren,County,0500000US05141,3.6,55142,77
239,Lassen,County,0500000US06035,5.6,45315,78
240,Modoc,County,0500000US06049,5.7,35269,83
241,San Francisco,County,0500000US06075,4.1,47537,76
242,Santa Barbara,County,0500000US06083,5.6,52739,79
243,Sierra,County,0500000US06091,2.5,36519,83
244,Solano,County,0500000US06095,2.9,39491,73
245,Sutter,County,0500000US06101,5.2,55373,87
246,Trinity,County,0500000US06105,2.3,48316,75
247,Ventura,County,0500000US06111,3.3,37439,84
248,Yuba,County,0500000US06115,3.9,31500,83
249,Lake,County,0500000US06033,5,47149,82
250,San Bernardino,County,0500000US06071,5.5,44954,81
251,Santa Cruz,County,0500000US06087,4.2,44226,81
252,Alameda,County,0500000US06001,5.6,38303,76
253,Alpine,County,0500000US06003,3.5,54877,89
254,Amador,County,0500000US06005,2.4,35612,85
255,Butte,County,0500000US06007,5.1,33639,77
256,Calaveras,County,0500000US06009,5.6,39691,78
257,Colusa,County,0500000US06011,2.6,37608,85
258,Contra Costa,County,0500000US06013,2.7,52039,73
259,Del Norte,County,0500000US06015,5.1,31394,89
260,El Dorado,County,0500000US06017,3.6,32387,82
261,Fresno,County,0500000US06019,3.6,54692,75
262,Glenn,County,0500000US06021,2.9,31261,87
263,Humboldt,County,0500000US06023,3.5,53365,78
264,Imperial,County,0500000US06025,2.4,43109,72
265,Inyo,County,0500000US06027,4.3,33120,83
266,Kern,County,0500000US06029,2.5,43866,78
267,Kings,County,0500000US06031,5.7,54012,82
268,Los Angeles,County,0500000US06037,5.6,38421,87
269,Madera,County,0500000US06039,4.6,34554,86
270,Marin,County,0500000US06041,5.3,51693,79
271,Mariposa,County,0500000US06043,3.6,47494,87
272,Mendocino,County,0500000US06045,4.1,54584,77
273,Merced,County,0500000US06047,3,47278,86
274,Mono,County,0500000US06051,5.2,53544,72
275,Monterey,County,0500000US06053,3.1,57698,83
276,Napa,County,0500000US06055,2.3,30201,80
277,Nevada,County,0500000US06057,4.3,30413,81
278,Orange,County,0500000US06059,5.6,32041,76
279,Placer,County,0500000US06061,3.8,31524,89
280,Plumas,County,0500000US06063,5.2,51243,81
281,Riverside,County,0500000US06065,4.2,35424,73
282,Sacramento,County,0500000US06067,4.9,37275,77
283,San Benito,County,0500000US06069,3.5,34516,88
284,San Diego,County,0500000US06073,4.6,33241,85
285,San Joaquin,County,0500000US06077,5,54001,76
286,San Luis Obispo,County,0500000US06079,5.1,46449,87
287,San Mateo,County,0500000US06081,2.2,46406,87
288,Santa Clara,County,0500000US06085,3.3,57419,73
289,Shasta,County,0500000US06089,3.3,46292,83
290,Siskiyou,County,0500000US06093,5.3,34071,73
291,Sonoma,County,0500000US06097,5.9,55680,82
292,Stanislaus,County,0500000US06099,4,30021,89
293,Tehama,County,0500000US06103,5.5,37605,79
294,Tulare,County,0500000US06107,3.6,45925,82
295,Tuolumne,County,0500000US06109,5.5,33332,77
296,Yolo,County,0500000US06113,2.5,44394,81
297,Hinsdale,County,0500000US08053,4.2,50202,89
298,Kiowa,County,0500000US08061,3.4,48214,87
299,Kit Carson,County,0500000US08063,4.4,56851,86
300,Las Animas,County,0500000US08071,4.4,36890,84
301,Lincoln,County,0500000US08073,3,33304,88
302,Logan,County,0500000US08075,5.7,33877,81
303,Mineral,County,0500000US08079,5.2,35747,84
304,Montrose,County,0500000US08085,4.3,53004,89
305,Morgan,County,0500000US08087,3.4,36641,84
306,Otero,County,0500000US08089,3.5,39794,73
307,Phillips,County,0500000US08095,5.4,44697,86
308,Prowers,County,0500000US08099,4.9,37950,79
309,Pueblo,County,0500000US08101,3,57946,73
310,Rio Blanco,County,0500000US08103,3.7,49262,87
311,Rio Grande,County,0500000US08105,4.2,55097,72
312,Adams,County,0500000US08001,2.3,56771,87
313,Alamosa,County,0500000US08003,3.4,42722,75
314,Arapahoe,County,0500000US08005,5,49545,83
315,Archuleta,County,0500000US08007,3.4,38525,87
316,Baca,County,0500000US08009,5,44623,87
317,Bent,County,0500000US08011,2.3,54849,76
318,Boulder,County,0500000US08013,3.2,34189,77
319,Chaffee,County,0500000US08015,5,34288,87
320,Clear Creek,County,0500000US08019,4.1,50420,88
321,Costilla,County,0500000US08023,3.5,33002,89
322,Custer,County,0500000US08027,5.8,51242,83
323,Delta,County,0500000US08029,5.1,37078,84
324,Denver,County,0500000US08031,5.2,54957,85
325,Douglas,County,0500000US08035,3.3,46514,74
326,Eagle,County,0500000US08037,5.8,52889,72
327,Grand,County,0500000US08049,3.4,52703,87
328,Gunnison,County,0500000US08051,5.9,35732,84
329,Huerfano,County,0500000US08055,4.1,42316,88
330,Jackson,County,0500000US08057,5.9,52051,86
331,Jefferson,County,0500000US08059,3.7,53598,82
332,Lake,County,0500000US08065,3.8,43489,74
333,La Plata,County,0500000US08067,2.6,53063,84
334,Larimer,County,0500000US08069,4.8,43014,75
335,Mesa,County,0500000US08077,2.8,30177,86
336,Moffat,County,0500000US08081,5.1,37496,77
337,Montezuma,County,0500000US08083,5.3,35122,74
338,Ouray,County,0500000US08091,3.8,35603,87
339,Park,County,0500000US08093,2.3,52134,85
340,Pitkin,County,0500000US08097,3.2,48335,80
341,Routt,County,0500000US08107,4.5,45559,82
342,Saguache,County,0500000US08109,5.6,53904,82
343,San Juan,County,0500000US08111,5.6,49586,77
344,San Miguel,County,0500000US08113,3.3,43104,86
345,Summit,County,0500000US08117,3.2,54781,82
346,Broomfield,County,0500000US08014,5.7,49698,77
347,Cheyenne,County,0500000US08017,4.5,42455,76
348,Conejos,County,0500000US08021,5,46813,73
349,Crowley,County,0500000US08025,5.4,34870,87
350,Dolores,County,0500000US08033,4.8,47366,73
351,Elbert,County,0500000US08039,4.2,47166,76
352,El Paso,County,0500000US08041,3,48002,80
353,Fremont,County,0500000US08043,5.3,42198,79
354,Garfield,County,0500000US08045,5.2,46948,84
355,Gilpin,County,0500000US08047,4.5,40515,84
356,Sedgwick,County,0500000US08115,4.2,39385,72
357,Teller,County,0500000US08119,3.5,41183,76
358,Washington,County,0500000US08121,5.8,44490,80
359,Weld,County,0500000US08123,2.9,38207,75
360,Yuma,County,0500000US08125,4.3,36681,86
361,Fairfield,County,0500000US09001,5.9,44183,85
362,Hartford,County,0500000US09003,2.4,43883,81
363,Litchfield,County,0500000US09005,3.2,45581,83
364,Middlesex,County,0500000US09007,4.7,56555,88
365,New Haven,County,0500000US09009,3.7,45414,77
366,New London,County,0500000US09011,5.7,33326,76
367,Tolland,County,0500000US09013,5,46841,80
368,Windham,County,0500000US09015,5.4,53778,74
369,Kent,County,0500000US10001,5,38952,76
370,New Castle,County,0500000US10003,2.8,35532,72
371,Sussex,County,0500000US10005,2.2,53878,85
372,District of Columbia,County,0500000US11001,3.6,32219,89
373,Calhoun,County,0500000US12013,4.5,53485,76
374,Charlotte,County,0500000US12015,2.4,42040,84
375,Clay,County,0500000US12019,3.2,37697,75
376,Collier,County,0500000US12021,5.8,54927,80
377,DeSoto,County,0500000US12027,4.1,46157,83
378,Flagler,County,0500000US12035,5.6,51485,85
379,Lafayette,County,0500000US12067,5.3,31673,87
380,Manatee,County,0500000US12081,3.1,30701,80
381,Martin,County,0500000US12085,3.1,57281,87
382,Monroe,County,0500000US12087,2.4,46231,73
383,Okaloosa,County,0500000US12091,3.4,45623,76
384,Palm Beach,County,0500000US12099,3.6,37350,74
385,Polk,County,0500000US12105,2.7,39594,87
386,Putnam,County,0500000US12107,4.4,50020,77
387,St. Johns,County,0500000US12109,3.5,45330,89
388,St. Lucie,County,0500000US12111,2.4,30432,72
389,Glades,County,0500000US12043,5.7,42440,76
390,Hardee,County,0500000US12049,2.8,32201,79
391,Hendry,County,0500000US12051,2.5,39496,76
392,Hernando,County,0500000US12053,4.1,32386,88
393,Holmes,County,0500000US12059,5.8,49205,73
394,Indian River,County,0500000US12061,3.1,40326,89
395,Alachua,County,0500000US12001,2.2,55905,81
396,Baker,County,0500000US12003,2.5,33919,87
397,Bay,County,0500000US12005,3.9,43483,86
398,Bradford,County,0500000US12007,2.2,33579,82
399,Brevard,County,0500000US12009,2.7,37517,84
400,Broward,County,0500000US12011,5.1,53034,84
401,Dixie,County,0500000US12029,3,39013,75
402,Duval,County,0500000US12031,5.6,44046,83
403,Escambia,County,0500000US12033,3.8,35800,73
404,Franklin,County,0500000US12037,4.3,50418,81
405,Gadsden,County,0500000US12039,4.3,44711,73
406,Gilchrist,County,0500000US12041,5.5,41142,74
407,Gulf,County,0500000US12045,2.6,41625,80
408,Hamilton,County,0500000US12047,2.4,46094,76
409,Highlands,County,0500000US12055,3.5,32590,88
410,Hillsborough,County,0500000US12057,4.3,37986,73
411,Jackson,County,0500000US12063,4.2,53220,87
412,Jefferson,County,0500000US12065,4,56377,78
413,Lake,County,0500000US12069,4,47019,83
414,Lee,County,0500000US12071,2.9,41184,78
415,Leon,County,0500000US12073,5.1,53224,81
416,Liberty,County,0500000US12077,3.4,30933,79
417,Madison,County,0500000US12079,5.9,51126,77
418,Marion,County,0500000US12083,3.9,48155,81
419,Miami-Dade,County,0500000US12086,2.5,32345,75
420,Nassau,County,0500000US12089,5.1,48223,74
421,Okeechobee,County,0500000US12093,2.7,49559,81
422,Orange,County,0500000US12095,5.8,36756,72
423,Osceola,County,0500000US12097,3.6,45641,75
424,Pasco,County,0500000US12101,5.3,43463,74
425,Pinellas,County,0500000US12103,5.9,41222,75
426,Santa Rosa,County,0500000US12113,3.4,45951,89
427,Seminole,County,0500000US12117,2.4,34046,75
428,Sumter,County,0500000US12119,5.4,53434,89
429,Suwannee,County,0500000US12121,3.4,46233,86
430,Taylor,County,0500000US12123,5.7,34158,78
431,Union,County,0500000US12125,2.9,52279,73
432,Wakulla,County,0500000US12129,2.6,44915,86
433,Washington,County,0500000US12133,3.4,34111,81
434,Sarasota,County,0500000US12115,3.7,44185,75
435,Walton,County,0500000US12131,4.8,32794,75
436,Citrus,County,0500000US12017,3.1,30972,81
437,Levy,County,0500000US12075,3.5,43693,86
438,Volusia,County,0500000US12127,4,49100,88
439,Columbia,County,0500000US12023,2.3,35486,80
440,Cherokee,County,0500000US13057,5.5,37114,87
441,Clarke,County,0500000US13059,4,37747,89
442,Clay,County,0500000US13061,5.7,52111,88
443,Clayton,County,0500000US13063,4.9,46646,86
444,Clinch,County,0500000US13065,4.3,35228,84
445,Appling,County,0500000US13001,5,39535,75
446,Baker,County,0500000US13007,5.9,35403,80
447,Baldwin,County,0500000US13009,4.4,42689,75
448,Barrow,County,0500000US13013,3.4,50262,76
449,Bartow,County,0500000US13015,5.5,44462,74
450,Berrien,County,0500000US13019,4.9,51170,88
451,Bibb,County,0500000US13021,2.4,34270,81
452,Brantley,County,0500000US13025,5.5,57269,72
453,Brooks,County,0500000US13027,2.7,56633,88
454,Bryan,County,0500000US13029,3.6,40972,77
455,Burke,County,0500000US13033,4.8,49104,83
456,Camden,County,0500000US13039,5.6,38164,81
457,Charlton,County,0500000US13049,5.6,30492,74
458,Chatham,County,0500000US13051,2.4,48121,73
459,Cook,County,0500000US13075,4,38963,78
460,Crawford,County,0500000US13079,2.8,38405,87
461,Crisp,County,0500000US13081,3.1,43843,75
462,DeKalb,County,0500000US13089,3.3,49866,72
463,Effingham,County,0500000US13103,5,43872,88
464,Elbert,County,0500000US13105,2.4,36712,74
465,Emanuel,County,0500000US13107,5.7,52722,77
466,Fayette,County,0500000US13113,4.5,39011,74
467,Fulton,County,0500000US13121,4.3,30754,74
468,Glynn,County,0500000US13127,2.3,57396,84
469,Grady,County,0500000US13131,3.4,47132,82
470,Gwinnett,County,0500000US13135,4.7,54419,89
471,Habersham,County,0500000US13137,3.6,44452,80
472,Hancock,County,0500000US13141,4.4,51714,83
473,Heard,County,0500000US13149,4.2,54928,79
474,Henry,County,0500000US13151,3.1,44351,82
475,Jefferson,County,0500000US13163,4.3,43094,89
476,Lamar,County,0500000US13171,5.1,38675,73
477,Liberty,County,0500000US13179,4,51101,72
478,Long,County,0500000US13183,2.6,34345,83
479,Lowndes,County,0500000US13185,3.9,41573,77
480,McDuffie,County,0500000US13189,3.3,33651,77
481,McIntosh,County,0500000US13191,2.8,50340,89
482,Madison,County,0500000US13195,4.1,35123,88
483,Miller,County,0500000US13201,3.6,36406,88
484,Murray,County,0500000US13213,2.9,33368,80
485,Newton,County,0500000US13217,5.3,30583,74
486,Oconee,County,0500000US13219,5.6,39066,77
487,Oglethorpe,County,0500000US13221,4.6,34679,72
488,Paulding,County,0500000US13223,4.9,52814,80
489,Pierce,County,0500000US13229,2.9,48983,75
490,Rabun,County,0500000US13241,3.2,55513,73
491,Richmond,County,0500000US13245,5.7,55848,79
492,Schley,County,0500000US13249,3.1,49195,86
493,Screven,County,0500000US13251,5.9,57395,77
494,Tattnall,County,0500000US13267,2.8,43059,72
495,Taylor,County,0500000US13269,5,35884,73
496,Telfair,County,0500000US13271,3.8,40882,74
497,Troup,County,0500000US13285,5.8,48107,74
498,Twiggs,County,0500000US13289,5.8,38331,76
499,Union,County,0500000US13291,4.2,44162,79
500,Warren,County,0500000US13301,4.4,32127,83
501,Washington,County,0500000US13303,5.8,53613,76
502,Wayne,County,0500000US13305,3.6,32647,82
503,Wheeler,County,0500000US13309,2.6,36261,73
504,Whitfield,County,0500000US13313,2.3,30614,74
505,Wilkes,County,0500000US13317,3,37702,88
506,Wilkinson,County,0500000US13319,3.1,57277,75
507,Atkinson,County,0500000US13003,2.3,51712,75
508,Bacon,County,0500000US13005,5,33555,89
509,Banks,County,0500000US13011,4.2,36339,74
510,Ben Hill,County,0500000US13017,2.6,31716,75
511,Bleckley,County,0500000US13023,4.7,49421,84
512,Bulloch,County,0500000US13031,2.7,38367,89
513,Butts,County,0500000US13035,5.1,42780,82
514,Calhoun,County,0500000US13037,5.7,42021,79
515,Candler,County,0500000US13043,3.9,38376,79
516,Carroll,County,0500000US13045,4,43842,74
517,Catoosa,County,0500000US13047,2.8,42474,82
518,Chattahoochee,County,0500000US13053,3.1,39161,84
519,Chattooga,County,0500000US13055,5,39767,85
520,Coweta,County,0500000US13077,3.9,40225,84
521,Dade,County,0500000US13083,5.1,56888,80
522,Dawson,County,0500000US13085,5.7,52999,77
523,Decatur,County,0500000US13087,3.1,50657,80
524,Dodge,County,0500000US13091,5.1,45757,79
525,Dooly,County,0500000US13093,5.6,39386,81
526,Dougherty,County,0500000US13095,4,32968,85
527,Douglas,County,0500000US13097,4.1,55752,82
528,Early,County,0500000US13099,4.2,43633,75
529,Echols,County,0500000US13101,2.2,32312,78
530,Evans,County,0500000US13109,4.1,37373,81
531,Fannin,County,0500000US13111,4.5,34063,78
532,Floyd,County,0500000US13115,3.7,42083,78
533,Forsyth,County,0500000US13117,4.8,52630,83
534,Franklin,County,0500000US13119,2.6,56428,79
535,Cobb,County,0500000US13067,4.9,54356,78
536,Coffee,County,0500000US13069,4.7,30732,80
537,Colquitt,County,0500000US13071,3.8,39220,86
538,Columbia,County,0500000US13073,3.3,50702,82
539,Hall,County,0500000US13139,2.9,51046,76
540,Haralson,County,0500000US13143,4.7,57383,83
541,Harris,County,0500000US13145,5.7,47215,78
542,Hart,County,0500000US13147,2.7,55040,72
543,Houston,County,0500000US13153,4,54420,76
544,Irwin,County,0500000US13155,3.1,49786,88
545,Jackson,County,0500000US13157,5,40084,83
546,Jasper,County,0500000US13159,2.2,52939,75
547,Jeff Davis,County,0500000US13161,5.5,42833,77
548,Jenkins,County,0500000US13165,4.7,52190,77
549,Johnson,County,0500000US13167,2.5,52919,82
550,Jones,County,0500000US13169,3.7,52311,84
551,Lanier,County,0500000US13173,5.8,41741,73
552,Laurens,County,0500000US13175,3.1,36898,78
553,Lee,County,0500000US13177,2.8,56125,77
554,Lincoln,County,0500000US13181,4.5,53844,81
555,Gilmer,County,0500000US13123,3,57341,77
